Gene	geneIDs	description	genes	logFC	AveExpr	t	P.Value	adj.P.Val	B	removed
CXCL10	ENSG00000169245	C-X-C motif chemokine ligand 10	ENSG00000169245	11.3036558488997	4.2272950283151	4.45536026549325	4.15889760618123e-05	0.000233385904149874	2.01569704005827	
CXCL11	ENSG00000169248	C-X-C motif chemokine ligand 11	ENSG00000169248	10.8888087989439	2.01003298847968	3.86255112229175	0.000298092788033073	0.00118503197803218	0.136896094636875	
CXCL9	ENSG00000138755	C-X-C motif chemokine ligand 9	ENSG00000138755	10.1340869141297	5.33071452726169	5.72473883529718	4.46832147957983e-07	6.46019289891239e-06	6.23710352136379	
CALHM6	ENSG00000188820	calcium homeostasis modulator family member 6	ENSG00000188820	9.20785074287959	1.26154548940951	3.91847989891172	0.000248877505841895	0.00101606627753741	0.321446940002772	
FCGR1CP	ENSG00000265531	Fc fragment of IgG receptor Ic, pseudogene	ENSG00000265531	8.79701457759078	-0.97091205460843	3.98034421138804	0.000203561773329303	0.000861934641614634	0.172646513263428	
IDO1	ENSG00000131203	indoleamine 2,3-dioxygenase 1	ENSG00000131203	8.5743928010266	1.78812758410964	3.98836462915467	0.000198305022166442	0.000843547334686493	0.59723808449468	
IL4I1	ENSG00000104951	interleukin 4 induced 1	ENSG00000104951	8.02679142034112	1.81639470583687	5.44373426079452	1.25215042407481e-06	1.41632613058222e-05	4.8204210128888	
CASP5	ENSG00000137757	caspase 5	ENSG00000137757	7.55867923019026	-1.94526109711818	4.30736317958231	6.8762020953599e-05	0.000352831670742329	0.98195128052634	
GZMB	ENSG00000100453	granzyme B	ENSG00000100453	7.51085056557109	0.655631340461775	3.45110844085205	0.00108050715662227	0.00354725629730822	-0.860600289719069	
S100A7A	ENSG00000184330	S100 calcium binding protein A7A	ENSG00000184330	7.43629658704531	-1.1872691380899	4.27882900934136	7.57017287463125e-05	0.00038118003691772	0.909921897515521	
CD80	ENSG00000121594	CD80 molecule	ENSG00000121594	7.34019251418436	-1.49905629787676	4.80967041883648	1.21629112653645e-05	8.67385236207961e-05	2.26173284152869	
MMP12	ENSG00000262406	matrix metallopeptidase 12	ENSG00000262406	7.31603982123334	-0.899786874991264	3.38283235884007	0.00132828555918378	0.00423024743892144	-1.21493761297389	
PLA1A	ENSG00000144837	phospholipase A1 member A	ENSG00000144837	7.00961295050296	-0.675374300144306	5.19196883279361	3.11816859851644e-06	2.85392700825954e-05	3.25987087158372	
BCL2L14	ENSG00000121380	BCL2 like 14	ENSG00000121380	6.99213043921477	-1.31323960748436	4.94781642208394	7.46543504603294e-06	5.76295894230814e-05	2.6207862610239	
FCGR1A	ENSG00000150337	Fc fragment of IgG receptor Ia	ENSG00000150337	6.93283524277954	0.682269982299711	4.62019227787461	2.35738239321171e-05	0.000148060425448526	2.37200639887463	
XCL1	ENSG00000143184	X-C motif chemokine ligand 1	ENSG00000143184	6.86204324015121	-1.03064476927962	5.50185112796381	1.01279564077586e-06	1.20171024713246e-05	4.08099169635035	
GBP5	ENSG00000154451	guanylate binding protein 5	ENSG00000154451	6.84662811954942	4.49468472735693	5.88815967367838	2.44216886551208e-07	4.22872778714585e-06	6.81188223292198	
RUFY4	ENSG00000188282	RUN and FYVE domain containing 4	ENSG00000188282	6.74482105639862	-1.11807766100425	4.05110632259331	0.000161469835491339	0.00071251184980191	0.352640193580518	
APOBEC3A	ENSG00000128383	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	ENSG00000128383	6.61161862085094	1.11641195212381	4.34627294554515	6.02871435282008e-05	0.000317511196793264	1.67765799321447	
IFNG	ENSG00000111537	interferon gamma	ENSG00000111537	6.55325046261618	-1.52296634299601	4.05579189998776	0.00015900166598694	0.000703704038410905	0.359660482358427	
CCL19	ENSG00000172724	C-C motif chemokine ligand 19	ENSG00000172724	6.48775212780855	5.09718213507555	7.79420830178996	1.89745733597509e-10	5.74455208466458e-08	13.5949813778953	
CXCR2P1	ENSG00000229754	C-X-C motif chemokine receptor 2 pseudogene 1	ENSG00000229754	6.4153393921282	-0.401005976524117	3.642751897516	0.000598463815955262	0.00215856941510595	-0.385247628296837	
CCL8	ENSG00000108700	C-C motif chemokine ligand 8	ENSG00000108700	6.4132975204114	2.17651594265675	4.75395115924655	1.47900054429402e-05	0.000101333502638759	2.96498908616803	
OR2I1P	ENSG00000237988	olfactory receptor family 2 subfamily I member 1 pseudogene	ENSG00000237988	6.35732941939102	-2.2611880191228	4.34888288739155	5.97565541383992e-05	0.000314973610714261	1.08563911231223	
FCGR1B	ENSG00000198019	Fc fragment of IgG receptor Ib	ENSG00000198019	6.32996607797778	0.10075074961291	4.60190481311504	2.51158811541136e-05	0.000156226424796824	2.18815940087955	
