"Gene"	"geneIDs"	"description"	"responder.logFC"	"responder.adj.P.Val"	"nonresponder.logFC"	"nonresponder.adj.P.Val"	"logFC_avg"	"removed"
"FOSL1"	"ENSG00000175592"	"FOS like 1, AP-1 transcription factor subunit"	3.75091306912371	0.0228762716726939	4.39375627478487	0.023231065910408	4.07233467195429	""
"IL1B"	"ENSG00000125538"	"interleukin 1 beta"	3.24468624353121	0.0421054149368627	4.53174853560797	0.0266495531238801	3.88821738956959	""
"CCL2"	"ENSG00000108691"	"C-C motif chemokine ligand 2"	3.72711957105633	0.000471336393480956	3.42378732253702	0.00040768314522995	3.57545344679667	""
"PTX3"	"ENSG00000163661"	"pentraxin 3"	3.67713883435287	0.0287752942673829	3.44618407473613	0.031135534397092	3.5616614545445	""
"TREM1"	"ENSG00000124731"	"triggering receptor expressed on myeloid cells 1"	3.27361384785665	0.0316772402711013	3.58080762972924	0.0124988144147432	3.42721073879294	""
"CCL8"	"ENSG00000108700"	"C-C motif chemokine ligand 8"	3.55110149173561	0.00719637476414285	3.2547431023914	0.00442947704149006	3.40292229706351	""
"FCGR1A"	"ENSG00000150337"	"Fc fragment of IgG receptor Ia"	3.0578817400961	0.0480285127053896	3.5194328140095	0.0263270955810454	3.2886572770528	""
"CXCL1"	"ENSG00000163739"	"C-X-C motif chemokine ligand 1"	3.40940826092021	0.0206388587915088	2.97460488720379	0.0373671299146297	3.192006574062	""
"SOCS3"	"ENSG00000184557"	"suppressor of cytokine signaling 3"	3.14203899246479	0.0073672426935721	3.22995415679366	0.0060435105569774	3.18599657462922	""
"CXCL2"	"ENSG00000081041"	"C-X-C motif chemokine ligand 2"	2.60001576677706	0.0291700491538274	3.73992834794119	0.0153600280013912	3.16997205735913	""
"SERPINE1"	"ENSG00000106366"	"serpin family E member 1"	2.84688922580845	0.0033080293172959	3.04074776646397	0.00141194637055393	2.94381849613621	""
"IL4I1"	"ENSG00000104951"	"interleukin 4 induced 1"	2.09047274951653	0.0456576587803952	3.33358874803109	0.00310851394882885	2.71203074877381	""
"BATF"	"ENSG00000156127"	"basic leucine zipper ATF-like transcription factor"	2.62768180101752	0.0033080293172959	2.70975753412444	0.000901987367016959	2.66871966757098	""
"CCR1"	"ENSG00000163823"	"C-C motif chemokine receptor 1"	2.26995596332278	0.00414478183434308	2.83478649429165	0.000341175884884507	2.55237122880721	""
"SELE"	"ENSG00000007908"	"selectin E"	2.15302168978228	0.0219765671132347	2.92817844098616	0.00387831443802288	2.54060006538422	""
"FCN1"	"ENSG00000085265"	"ficolin 1"	2.32457788621776	0.0354298663128286	2.74912458382456	0.0118168979142861	2.53685123502116	""
"CRLF2"	"ENSG00000205755"	"cytokine receptor like factor 2"	2.53594333970852	0.0144912218580964	2.33921726683462	0.00527395896257422	2.43758030327157	""
"CH25H"	"ENSG00000138135"	"cholesterol 25-hydroxylase"	2.40662645424232	0.0119151041776997	2.45652547899988	0.0109748225550724	2.4315759666211	""
"SLC11A1"	"ENSG00000018280"	"solute carrier family 11 member 1"	2.40298320995756	0.0180879585305832	2.3298190238386	0.0143003168648929	2.36640111689808	""
"THBS1"	"ENSG00000137801"	"thrombospondin 1"	2.29250039697805	0.00776910745659458	2.41427543648682	0.00468220362288156	2.35338791673243	""
"MT1M"	"ENSG00000205364"	"metallothionein 1M"	2.32379361521976	0.0275200543309654	2.25354715302581	0.0221302914413132	2.28867038412278	""
"ICAM1"	"ENSG00000090339"	"intercellular adhesion molecule 1"	2.14695477214315	0.000471336393480956	2.41869228632182	3.46891567539913e-05	2.28282352923248	""
"SERPINA1"	"ENSG00000197249"	"serpin family A member 1"	2.14105188918604	0.0414859807113024	2.26014134711353	0.03127999311482	2.20059661814978	""
"SLC39A14"	"ENSG00000104635"	"solute carrier family 39 member 14"	1.94524163084095	0.0033080293172959	2.41094307080945	0.000236622728301342	2.1780923508252	""
"ADAMTS8"	"ENSG00000134917"	"ADAM metallopeptidase with thrombospondin type 1 motif 8"	1.97354555648218	0.0240132595431865	2.37233832254433	0.00442947704149006	2.17294193951325	""
"NR4A3"	"ENSG00000119508"	"nuclear receptor subfamily 4 group A member 3"	1.90948566706154	0.0287752942673829	2.42197561031694	0.0109748225550724	2.16573063868924	""
"NNMT"	"ENSG00000166741"	"nicotinamide N-methyltransferase"	2.10780515604363	0.000692388097861357	2.15241000819737	0.000313958165648455	2.1301075821205	""
"RGS16"	"ENSG00000143333"	"regulator of G protein signaling 16"	2.0569880694136	0.00867864705567161	2.04541659697855	0.00928715084469146	2.05120233319608	""
"C5AR1"	"ENSG00000197405"	"complement C5a receptor 1"	2.26765815972379	0.0033080293172959	1.68831295379106	0.0197079509254727	1.97798555675742	""
"ITGAX"	"ENSG00000140678"	"integrin subunit alpha X"	1.95913258642184	0.0173771465389805	1.98769299181162	0.0118168979142861	1.97341278911673	""
