sample.ID	drug_status	treatment
AL1B12S6_S14	post	S6
AL1B12V6_S15	post	V6
AL1B12N_S13	post	N
pAL1B12V6_S11	pre	V6
pAL1B12D2_S12	pre	D2
AL1B12D2_S16	post	D2
pAL1B12S6_S10	pre	S6
pAL1B12N_S9	pre	N
AL1B13V6_S7	post	V6
AL1B13D2_S8	post	D2
AL1B13S6_S6	post	S6
pAL1B13D2_S4	pre	D2
pAL1B13N_S1	pre	N
AL1B13N_S5	post	N
pAL1B13V6_S3	pre	V6
pAL1B13S6_S2	pre	S6
pAL1B15S6_S9	pre	S6
AL1B15S6_S11	post	S6
AL1B15N_S10	post	N
pAL1B16D2_S12	pre	D2
AL1B16N_S13	post	N
AL1B16D2_S14	post	D2
pAL1B18S6_S2	pre	S6
AL1B18S6_S6	post	S6
AL1B18V6_S7	post	V6
pAL1B18V6_S3	pre	V6
pAL1B18D2_S4	pre	D2
pAL1B18N_S1	pre	N
AL1B18D2_S8	post	D2
AL1B18N_S5	post	N
AL1B19N_S13	post	N
AL1B19D2_S16	post	D2
pAL1B19D2_S12	pre	D2
pAL1B19V6_S11	pre	V6
AL1B19S6_S14	post	S6
AL1B19V6_S15	post	V6
pAL1B19S6_S10	pre	S6
pAL1B19N_S9	pre	N
AL1B22N_S5	post	N
pAL1B22D2_S4	pre	D2
pAL1B22N_S1	pre	N
AL1B22D2_S8	post	D2
pAL1B22S6_S2	pre	S6
pAL1B22V6_S3	pre	V6
AL1B22S6_S6	post	S6
AL1B22V6_S7	post	V6
pAL1B23D2_S12	pre	D2
pAL1B23N_S9	pre	N
AL1B23V6_S15	post	V6
AL1B23D2_S16	post	D2
pAL1B23V6_S11	pre	V6
pAL1B23S6_S10	pre	S6
AL1B23S6_S14	post	S6
AL1B23N_S13	post	N
AL1B24D2_S8	post	D2
AL1B24N_S5	post	N
pAL1B24V6_S3	pre	V6
pAL1B24N_S1	pre	N
pAL1B24D2_S4	pre	D2
pAL1B24S6_S2	pre	S6
AL1B24S6_S6	post	S6
AL1B24V6_S7	post	V6
AL1B25N_S13	post	N
AL1B25D2_S16	post	D2
pAL1B25N_S9	pre	N
pAL1B25S6_S10	pre	S6
pAL1B25V6_S11	pre	V6
AL1B25V6_S15	post	V6
pAL1B25D2_S12	pre	D2
AL1B25S6_S14	post	S6
pAL1B26S6_S2	pre	S6
pAL1B26V6_S3	pre	V6
pAL1B26N_S1	pre	N
AL1B26N_S5	post	N
AL1B26S6_S6	post	S6
pAL1B26D2_S4	pre	D2
AL1B26D2_S8	post	D2
AL1B26V6_S7	post	V6
AL1B29N_S13	post	N
AL1B29S6_S14	post	S6
AL1B29V6_S15	post	V6
pAL1B29N_S9	pre	N
pAL1B29S6_S10	pre	S6
pAL1B29D2_S12	pre	D2
AL1B29D2_S16	post	D2
pAL1B29V6_S11	pre	V6
AL1B3V6_S3	post	V6
pAL1B3V6_S1	pre	V6
pAL1B3D2_S2	pre	D2
AL1B3D2_S4	post	D2
AL1B30S6_S14	post	S6
pAL1B30N_S9	pre	N
AL1B30V6_S15	post	V6
AL1B30D2_S16	post	D2
pAL1B30D2_S12	pre	D2
pAL1B30S6_S10	pre	S6
pAL1B30V6_S11	pre	V6
AL1B30N_S13	post	N
AL1B31S6_S6	post	S6
pAL1B31S6_S2	pre	S6
pAL1B31V6_S3	pre	V6
pAL1B31D2_S4	pre	D2
pAL1B31N_S1	pre	N
AL1B31V6_S7	post	V6
AL1B31D2_S8	post	D2
AL1B31N_S5	post	N
pAL1B5D2_S6	pre	D2
AL1B5D2_S8	post	D2
AL1B5V6_S7	post	V6
pAL1B5V6_S5	pre	V6
AL1B6N_S5	post	N
AL1B6S6_S6	post	S6
AL1B6V6_S7	post	V6
AL1B6D2_S8	post	D2
pAL1B6D2_S4	pre	D2
pAL1B6N_S1	pre	N
pAL1B6S6_S2	pre	S6
pAL1B6V6_S3	pre	V6
AL1B7N_S13	post	N
AL1B7S6_S14	post	S6
AL1B7V6_S15	post	V6
AL1B7D2_S16	post	D2
pAL1B7D2_S12	pre	D2
pAL1B7N_S9	pre	N
pAL1B7S6_S10	pre	S6
pAL1B7V6_S11	pre	V6
