Gene	geneIDs	description	genes	logFC	AveExpr	t	P.Value	adj.P.Val	B	pre.logFC	pre.AveExpr	pre.adj.P.Val	logFC_diff	removed
SERPINB4	ENSG00000206073	serpin family B member 4	ENSG00000206073	5.32031511987651	0.0564544333777458	3.57719801538487	0.00073384340548142	0.00256085116142369	-0.607637760197172	0.571196725510361	0.0564544333777458	0.679653892820439	4.74911839436615	
HEPHL1	ENSG00000181333	hephaestin like 1	ENSG00000181333	5.33160710991084	0.0664996984109259	3.5709431654606	0.000748188971752236	0.00260127570727998	-0.620004436349721	2.31345212774408	0.0664996984109259	0.0626239601700394	3.01815498216676	
KMO	ENSG00000117009	kynurenine 3-monooxygenase	ENSG00000117009	4.48778977651468	1.35886645125534	5.20011446966786	3.02801811165826e-06	2.79784830383836e-05	4.28197782860932	1.88324263318211	1.35886645125534	0.0128708008673205	2.60454714333257	
IL4I1	ENSG00000104951	interleukin 4 induced 1	ENSG00000104951	8.02679142034112	1.81639470583687	5.44373426079452	1.25215042407481e-06	1.41632613058222e-05	4.8204210128888	5.8665074667205	1.81639470583687	4.09209467553135e-05	2.16028395362062	
PI15	ENSG00000137558	peptidase inhibitor 15	ENSG00000137558	2.38718215662623	1.81150866094765	3.6187573210921	0.000644984676225455	0.00230109060698663	-0.493343554742861	0.242635251117041	1.81150866094765	0.782977323599577	2.14454690550919	
POTEI	ENSG00000196834	POTE ankyrin domain family member I	ENSG00000196834	3.92362510957599	0.43670526883509	3.73857221197043	0.000442736936655173	0.00166863856927264	-0.123654152320143	1.8346421047115	0.43670526883509	0.0445167946051205	2.08898300486449	
ASXL1	ENSG00000171456	ASXL transcriptional regulator 1	ENSG00000171456	1.10369115062595	4.42728577197417	2.60635966150691	0.0117543650581172	0.0272235928001528	-3.37249533735683	-0.839210922814253	4.42728577197417	0.116025102009029	1.9429020734402	
CHI3L2	ENSG00000064886	chitinase 3 like 2	ENSG00000064886	4.32830142431747	3.64393082727864	6.53050300194366	2.21723852639265e-08	8.34198324026875e-07	9.0864791834399	2.39028244535439	3.64393082727864	0.00224786134782669	1.93801897896308	
ANKRD20A5P	ENSG00000186481	ankyrin repeat domain 20 family member A5, pseudogene	ENSG00000186481	2.43249484632877	0.49525418494593	3.27948726393155	0.00180793510484036	0.00547157758746353	-1.28912930740077	0.603434569463419	0.49525418494593	0.525039873650375	1.82906027686535	
OTOF	ENSG00000115155	otoferlin	ENSG00000115155	2.56739127921011	0.0153835177161632	4.69673856704863	1.80641714107471e-05	0.00011880902418691	2.64989220537739	0.804543264862026	0.0153835177161632	0.153832146692613	1.76284801434808	
SLC2A6	ENSG00000160326	solute carrier family 2 member 6	ENSG00000160326	5.46064456432519	0.956339638015771	5.59266600017799	7.26268320722036e-07	9.30084268493733e-06	5.2892903280216	3.83166771484181	0.956339638015771	0.000109928352767606	1.62897684948338	
MARCH1	ENSG00000145416	membrane associated ring-CH-type finger 1	ENSG00000145416	2.0836541870845	4.05572602165906	5.11639050726706	4.0911509200754e-06	3.56270293156768e-05	4.09148461626275	0.456893495956395	4.05572602165906	0.419708373875656	1.6267606911281	
FOSL1	ENSG00000175592	FOS like 1, AP-1 transcription factor subunit	ENSG00000175592	2.58654577873933	1.15990981632769	4.61396617065966	2.40881457229335e-05	0.000150753201397791	2.52874791551465	0.971128316760519	1.15990981632769	0.127342819138123	1.61541746197881	
MATK	ENSG00000007264	megakaryocyte-associated tyrosine kinase	ENSG00000007264	3.69530396375532	1.949881317931	5.61477702277953	6.69658824670263e-07	8.76710093703447e-06	5.75450004087896	2.09794023855857	1.949881317931	0.00240833829934512	1.59736372519675	
TRIM34	ENSG00000258659	tripartite motif containing 34	ENSG00000258659	2.21949346834096	3.55694783430276	4.12350753541626	0.000127157164267834	0.000587314242011755	0.925428216478826	0.66421302410905	3.55694783430276	0.299059675617512	1.55528044423191	
KRT6A	ENSG00000205420	keratin 6A	ENSG00000205420	2.94895440989032	7.51937387597583	4.81745802382632	1.18342421680693e-05	8.48003980208988e-05	2.95252914497052	1.43277552968418	7.51937387597583	0.0591348613915814	1.51617888020614	
C11orf98	ENSG00000278615	chromosome 11 open reading frame 98	ENSG00000278615	1.30081660623294	3.19120473523453	3.30856323064132	0.00165858927770881	0.00508981871385111	-1.45637951222558	-0.186525434771655	3.19120473523453	0.728396903915163	1.48734204100459	
NR4A3	ENSG00000119508	nuclear receptor subfamily 4 group A member 3	ENSG00000119508	3.31423002934697	1.67117140226851	5.07250894914519	4.78734934484735e-06	4.03143093887781e-05	4.00023334453775	1.85194823682093	1.67117140226851	0.00721706880683754	1.46228179252604	
PLA2G7	ENSG00000146070	phospholipase A2 group VII	ENSG00000146070	2.52021317108322	2.17202129841856	5.97165966781165	1.79145662835188e-07	3.38316409658344e-06	7.08094779358454	1.07925765769157	2.17202129841856	0.0260477946207368	1.44095551339165	
YPEL2	ENSG00000175155	yippee like 2	ENSG00000175155	1.1892631293939	2.10023745180524	2.61648615530328	0.011449501051836	0.0265938063270647	-3.13838307424829	-0.250134493290313	2.10023745180524	0.729092992733717	1.43939762268421	
S100A7	ENSG00000143556	S100 calcium binding protein A7	ENSG00000143556	5.46882585050897	4.30708869873067	6.35514160973057	4.28144148748465e-08	1.27156184645129e-06	8.46185524972447	4.0504423978734	4.30708869873067	0.000116703773006594	1.41838345263557	
XDH	ENSG00000158125	xanthine dehydrogenase	ENSG00000158125	2.72453917940305	2.23737164911498	5.32723297684696	1.91258831535544e-06	1.9732860063007e-05	4.87525648563353	1.32126068178538	2.23737164911498	0.0319830182977317	1.40327849761767	
GCSAM	ENSG00000174500	germinal center associated signaling and motility	ENSG00000174500	4.36646605625964	0.404901139178168	2.37885208610882	0.0208676768452405	0.044349249375165	-3.26016539522668	3.003837517028	0.404901139178168	0.077490989889218	1.36262853923164	
CXCL2	ENSG00000081041	C-X-C motif chemokine ligand 2	ENSG00000081041	2.32358190136946	0.176052641151984	3.61024239589167	0.000662309099798062	0.00235379697683185	-0.435868841382279	0.968902720526762	0.176052641151984	0.232438648847458	1.3546791808427	
MUC12	ENSG00000205277	mucin 12, cell surface associated	ENSG00000205277	1.36330285951626	0.523369565221542	3.40436270667297	0.00124485510984125	0.00400071531071223	-0.992866687601038	0.0106289664808609	0.523369565221542	0.984836604968107	1.3526738930354	
EIF5	ENSG00000100664	eukaryotic translation initiation factor 5	ENSG00000100664	1.01571212621369	7.12650777458709	2.58635422772589	0.0123784782553834	0.02846153965543	-3.5742000973305	-0.314622396211075	7.12650777458709	0.563776861610986	1.33033452242476	
