"Gene.stable.ID"	"location_sortable"	"GNF"	"Mabbott"	"Doig"	"Freeman2012_pig"	"SkinSig_3study"
"ENSG00000000003"	"Xq22"	"High_in_Testis"	"[0154"	NA	NA	NA
"ENSG00000000005"	"Xq21.33-q23"	NA	NA	NA	"Snout tendon>trachea (Cartilidge)"	"Adipocyte"
"ENSG00000000419"	"20q13.1"	NA	NA	NA	"Cluster0348"	NA
"ENSG00000000457"	"01q24.2"	NA	NA	NA	"Cluster1154"	NA
"ENSG00000000460"	"01q24.2"	NA	"High in ES/iPS cells"	"Cell cycle (G1/S phase)"	"Many (cell cycle)"	NA
"ENSG00000000938"	"01p36.2-p36.1"	"High_in_bone_marrow"	"Phagocyte-related: High in BM:monocytes:MDM:MDDC:tissue DC:plasmacytoid DC:neutrophils"	"Macrophage"	"Macs-other immune"	NA
"ENSG00000000971"	"01q32"	NA	NA	NA	"Cluster1380"	"Fibroblast"
"ENSG00000001036"	"06q24"	NA	"Phagocyte-related: High in MDM:MDDC: Low in monocytes"	NA	NA	"Fibroblast"
"ENSG00000001084"	"06p12"	"Cornified_epithelium_(Brochial_epthelium/tongue)"	NA	NA	NA	NA
"ENSG00000001167"	"06p21.3"	NA	"[0350"	NA	"HK1"	NA
"ENSG00000001460"	"01p36.11"	NA	NA	NA	NA	NA
"ENSG00000001461"	"01p36.12-p35.1"	NA	NA	NA	NA	NA
"ENSG00000001497"	"Xq12"	NA	"[0239"	NA	NA	NA
"ENSG00000001561"	"06p12.3"	NA	NA	NA	NA	NA
"ENSG00000001617"	"03p21.3"	NA	NA	NA	"Cluster0401"	NA
"ENSG00000001626"	"07q31.2"	"High_in_Pancreas"	"[0102"	NA	"Cluster0776"	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000001629"	"07q21.3"	NA	NA	NA	"Cluster1034"	NA
"ENSG00000001630"	"07q21.2"	"[095"	"[0281"	NA	"Cluster0552"	NA
"ENSG00000001631"	"07q21.2"	NA	"[0101"	"[347"	"Tongue>>skin-lower oesophagus"	NA
"ENSG00000002016"	"12p13-p12.2"	NA	"Low in many"	NA	"Cluster0123"	NA
"ENSG00000002079"	"07q22.1"	NA	NA	NA	NA	NA
"ENSG00000002330"	"11q13.1"	NA	NA	NA	NA	NA
"ENSG00000002549"	"04p15.33"	NA	NA	"IFN"	NA	NA
"ENSG00000002586"	"Xp22.32 and Yp11.3"	"[279"	NA	NA	NA	"Fibroblast"
"ENSG00000002587"	"04p16"	NA	NA	NA	NA	NA
"ENSG00000002726"	"07q36.1"	NA	NA	NA	NA	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000002745"	"07q31"	NA	NA	NA	"Cornea"	NA
"ENSG00000002746"	"07p13"	NA	NA	"HK"	"CNS-highest in cortex"	NA
"ENSG00000002822"	"07p22"	NA	NA	NA	NA	NA
"ENSG00000002834"	"17q11-q21.3"	NA	NA	NA	"HK1"	NA
"ENSG00000002919"	"17q21.32"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000002933"	"07q36.1"	NA	NA	NA	NA	NA
"ENSG00000003056"	"12p13.31"	"General_HK_(ribosone,proteasome, etc)"	"Phagocte-related: High in BM:monocytes:MDM:MDDC:neutrophils"	NA	"Macs-other immune"	NA
"ENSG00000003096"	"Xq23-q24"	NA	NA	NA	NA	NA
"ENSG00000003137"	"02p12"	"High_in_Cerebellum"	"High in osteoblasts"	NA	"Placenta"	NA
"ENSG00000003147"	"07p22"	NA	"High in neurones"	NA	NA	NA
"ENSG00000003249"	"16q24.3"	NA	"High in Schwann cells"	NA	NA	NA
"ENSG00000003393"	"02q33.1"	NA	NA	NA	NA	NA
"ENSG00000003400"	"02q33-q34"	NA	NA	"HK"	"Cluster0420"	NA
"ENSG00000003402"	"02q33-q34"	"[283|266"	"High in LPS/IFNg-treated neutrophils|High in neutrophils:BM"	"[073"	"LPS induced (high in other tissues)"	NA
"ENSG00000003436"	"02q32"	"High_in_Placenta>Pituatary|Endothelium?"	NA	NA	NA	NA
"ENSG00000003509"	"02p22.2"	NA	"High in ES/iPS cells"	NA	NA	NA
"ENSG00000003756"	"03p21.3"	"General_splicing?"	NA	"[317"	"Cluster0164"	NA
"ENSG00000003987"	"08p22"	NA	"High in bronchial epithelium"	NA	"Cluster0199"	NA
"ENSG00000003989"	"08p22"	NA	NA	NA	NA	NA
"ENSG00000004059"	"07q31.3"	NA	NA	NA	NA	NA
"ENSG00000004139"	"17q11"	NA	NA	NA	"Alveloar macs>>other macs"	NA
"ENSG00000004142"	"17q11.2"	NA	NA	"[521|156"	NA	NA
"ENSG00000004399"	"03q21.3"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000004455"	"01p35.1"	NA	NA	"[385"	NA	NA
"ENSG00000004468"	"04p15.32"	NA	NA	"IFN"	NA	NA
"ENSG00000004478"	"12p13.33"	"muscle?"	NA	NA	"Fallopian tube>adult testis"	NA
"ENSG00000004487"	"01p36.12"	"High_in_Testis"	"High in ES/iPS cells"	NA	NA	NA
"ENSG00000004534"	"03p21.3"	NA	NA	NA	NA	NA
"ENSG00000004660"	"17p13.3"	NA	NA	NA	"Cluster1372"	NA
"ENSG00000004700"	"12p12.1"	NA	NA	"[306"	"Adrenal gland>>>overy-placenta-testis"	NA
"ENSG00000004776"	"19q13.13"	"High_in_Cardiac_muscle"	"High in brochial smooth muscle cells"	NA	"Smooth muscle/muscle-related"	"Adipocyte"
"ENSG00000004777"	"19q13.13"	NA	"Low in many"	NA	NA	NA
"ENSG00000004779"	"16p12.3"	"High_in_Cardiac_muscle"	NA	NA	"General (oxidative phosphorylation)"	NA
"ENSG00000004799"	"07q21.3-q22.1"	NA	NA	NA	NA	NA
"ENSG00000004809"	"06q21"	NA	NA	NA	NA	NA
"ENSG00000004838"	"03p21.3"	"High_in_Testis"	"High in bronchial epithelium"	"[409"	"Fallopian tube>adult testis"	NA
"ENSG00000004846"	"07p14"	NA	"High in Schwann cells"	NA	"Cluster1495"	NA
